sp,family
Galaxea astreata,Euphylliidae
Galaxea cryptoramosa,Euphylliidae
Galaxea fascicularis,Euphylliidae
Galaxea horrescens,Euphylliidae
Galaxea longisepta,Euphylliidae
Galaxea paucisepta,Euphylliidae
Gardineroseris planulata,Agariciidae
Coelastrea aspera,Merulinidae
Paragoniastrea australensis,Merulinidae
Goniastrea columella,Merulinidae
Paragoniastrea deformis,Merulinidae
Goniastrea edwardsi,Merulinidae
Goniastrea favulus,Merulinidae
Goniastrea minuta,Merulinidae
Coelastrea palauensis,Merulinidae
Goniastrea pectinata,Merulinidae
Goniastrea ramosa,Merulinidae
Goniastrea retiformis,Merulinidae
Goniastrea thecata,Merulinidae
Goniopora albiconus,Poritidae
Goniopora burgosi,Poritidae
Goniopora ciliatus,Poritidae
Goniopora columna,Poritidae
Goniopora djiboutiensis,Poritidae
Goniopora eclipsensis,Poritidae
Goniopora fruticosa,Poritidae
Goniopora lobata,Poritidae
Goniopora pedunculata,Poritidae
Goniopora norfolkensis,Poritidae
Goniopora palmensis,Poritidae
Goniopora pandoraensis,Poritidae
Goniopora pendulus,Poritidae
Goniopora planulata,Poritidae
Goniopora savignyi,Poritidae
Goniopora somaliensis,Poritidae
Goniopora stokesi,Poritidae
Goniopora tenella,Poritidae
Gyrosmilia interrupta,Euphylliidae
Halomitra clavator,Fungiidae
Sandalolitha dentata,Fungiidae
Halomitra pileus,Fungiidae
Heliofungia actiniformis,Fungiidae
Helioseris cucullata,Agariciidae
Horastrea indica,Coscinaraeidae
Hydnophora exesa,Merulinidae
Hydnophora grandis,Merulinidae
Hydnophora microconos,Merulinidae
Hydnophora pilosa,Merulinidae
Hydnophora rigida,Merulinidae
Isophyllia rigida,Faviidae
Isophyllia sinuosa,Faviidae
Leptastrea aequalis,Faviidae
Leptastrea bewickensis,Faviidae
Leptastrea bottae,Faviidae
Leptastrea inaequalis,Faviidae
Leptastrea pruinosa,Faviidae
Leptastrea purpurea,Faviidae
Leptastrea transversa,Faviidae
Leptoria irregularis,Merulinidae
Leptoria phrygia,Merulinidae
Leptoseris amitoriensis,Agariciidae
Leptoseris cailleti,Agariciidae
Leptoseris explanata,Agariciidae
Leptoseris foliosa,Agariciidae
Leptoseris gardineri,Agariciidae
Leptoseris hawaiiensis,Agariciidae
Leptoseris mycetoseroides,Agariciidae
Leptoseris papyracea,Agariciidae
Leptoseris scabra,Agariciidae
Leptoseris solida,Agariciidae
Leptoseris striata,Agariciidae
Leptoseris tubulifera,Agariciidae
Leptoseris yabei,Agariciidae
Lithophyllon undulatum,Fungiidae
Cycloseris mokai,Fungiidae
Lobophyllia corymbosa,Lobophylliidae
Lobophyllia dentata,Lobophylliidae
Lobophyllia diminuta,Lobophylliidae
Lobophyllia flabelliformis,Lobophylliidae
Lobophyllia hataii,Lobophylliidae
Lobophyllia hemprichii,Lobophylliidae
Acanthastrea pachysepta,Lobophylliidae
Lobophyllia robusta,Lobophylliidae
Lobophyllia serrata,Lobophylliidae
Madracis decactis,Pocilloporidae
Madracis formosa,Pocilloporidae
Madracis kirbyi,Pocilloporidae
Madracis senaria,Pocilloporidae
Manicina areolata,Faviidae
Meandrina meandrites,Meandrinidae
Merulina ampliata,Merulinidae
Merulina scabricula,Merulinidae
Orbicella annularis,Merulinidae
Astrea annuligera,Merulinidae
Favites colemani,Merulinidae
Astrea curta,Merulinidae
Favites magnistellata,Merulinidae
Paramontastraea salebrosa,Merulinidae
Paramontastraea serageldini,Merulinidae
Favites valenciennesii,Merulinidae
Montipora aequituberculata,Acroporidae
Montipora altasepta,Acroporidae
Montipora angulata,Acroporidae
Montipora australiensis,Acroporidae
Montipora cactus,Acroporidae
Montipora calcarea,Acroporidae
Montipora caliculata,Acroporidae
Montipora capitata,Acroporidae
Montipora capricornis,Acroporidae
Montipora cebuensis,Acroporidae
Montipora circumvallata,Acroporidae
Montipora cocosensis,Acroporidae
Montipora confusa,Acroporidae
Montipora corbettensis,Acroporidae
Montipora crassituberculata,Acroporidae
Montipora cryptus,Acroporidae
Montipora danae,Acroporidae
Montipora delicatula,Acroporidae
Montipora digitata,Acroporidae
Montipora dilatata,Acroporidae
Montipora efflorescens,Acroporidae
Montipora effusa,Acroporidae
Montipora flabellata,Acroporidae
Montipora florida,Acroporidae
Montipora floweri,Acroporidae
Montipora foliosa,Acroporidae
Montipora foveolata,Acroporidae
Montipora friabilis,Acroporidae
Montipora gaimardi,Acroporidae
Montipora grisea,Acroporidae
Montipora hispida,Acroporidae
Montipora hodgsoni,Acroporidae
Montipora hoffmeisteri,Acroporidae
Montipora incrassata,Acroporidae
Montipora informis,Acroporidae
Montipora lobulata,Acroporidae
Montipora mactanensis,Acroporidae
Montipora malampaya,Acroporidae
Montipora millepora,Acroporidae
Montipora mollis,Acroporidae
Montipora monasteriata,Acroporidae
Montipora niugini,Acroporidae
Montipora nodosa,Acroporidae
Montipora orientalis,Acroporidae
Montipora patula,Acroporidae
Montipora peltiformis,Acroporidae
Montipora porites,Acroporidae
Montipora samarensis,Acroporidae
Montipora saudii,Acroporidae
Montipora stellata,Acroporidae
Montipora spongiosa,Acroporidae
Montipora spongodes,Acroporidae
Montipora spumosa,Acroporidae
Montipora stilosa,Acroporidae
Montipora tuberculosa,Acroporidae
Montipora turgescens,Acroporidae
Montipora turtlensis,Acroporidae
Montipora undata,Acroporidae
Montipora venosa,Acroporidae
Montipora verrucosa,Acroporidae
Montipora verruculosa,Acroporidae
Montipora vietnamensis,Acroporidae
Moseleya latistellata,Lobophylliidae
Mussa angulosa,Faviidae
Mycedium elephantotus,Merulinidae
Mycedium steeni,Merulinidae
Mycedium umbra,Merulinidae
Mycetophyllia aliciae,Faviidae
Mycetophyllia danaana,Faviidae
Mycetophyllia ferox,Faviidae
Nemenzophyllia turbida,Euphyllidae
Oulastrea crispata,Oulastreidae
Oulophyllia bennettae,Merulinidae
Oulophyllia crispa,Merulinidae
Oulophyllia levis,Merulinidae
Oxypora crassispinosa,Lobophylliidae
Oxypora lacera,Lobophylliidae
Pachyseris foliosa,Agariciidae
Pachyseris gemmae,Agariciidae
Pachyseris rugosa,Agariciidae
Pachyseris speciosa,Agariciidae
Palauastrea ramosa,Astrocoeniidae
Merulina triangularis,Merulinidae
Pavona bipartita,Agariciidae
Pavona cactus,Agariciidae
Pavona clavus,Agariciidae
Pavona decussata,Agariciidae
Pavona diffluens,Agariciidae
Pavona duerdeni,Agariciidae
Pavona explanulata,Agariciidae
Pavona frondifera,Agariciidae
Pavona gigantea,Agariciidae
Pavona maldivensis,Agariciidae
Pavona minuta,Agariciidae
Pavona varians,Agariciidae
Pavona venosa,Agariciidae
Pectinia africana,Merulinidae
Pectinia alcicornis,Merulinidae
Physophyllia ayleni,Merulinidae
Pectinia elongata,Merulinidae
Pectinia lactuca,Merulinidae
Pectinia paeonia,Merulinidae
Pectinia pygmaea,Merulinidae
Pectinia teres,Merulinidae
Physogyra lichtensteini,Euphyllidae
Platygyra acuta,Merulinidae
Platygyra carnosa,Merulinidae
Platygyra contorta,Merulinidae
Platygyra crosslandi,Merulinidae
Platygyra daedalea,Merulinidae
Platygyra lamellina,Merulinidae
Platygyra pini,Merulinidae
Platygyra ryukyuensis,Merulinidae
Platygyra sinensis,Merulinidae
Platygyra verweyi,Merulinidae
Plerogyra discus,Euphyllidae
Plerogyra simplex,Euphyllidae
Plerogyra sinuosa,Euphyllidae
Astrea devantieri,Merulinidae
Plesiastrea versipora,Plesiastreidae
Pocillopora ankeli,Pocilloporidae
Pocillopora capitata,Pocilloporidae
Pocillopora damicornis,Pocilloporidae
Pocillopora verrucosa,Pocilloporidae
Pocillopora elegans,Pocilloporidae
Pocillopora grandis,Pocilloporidae
Pocillopora indiania,Pocilloporidae
Pocillopora inflata,Pocilloporidae
Pocillopora kelleheri,Pocilloporidae
Pocillopora meandrina,Pocilloporidae
Pocillopora woodjonesi,Pocilloporidae
Pocillopora zelli,Pocilloporidae
Podabacia crustacea,Fungiidae
Podabacia motuporensis,Fungiidae
Porites annae,Poritidae
Porites aranetai,Poritidae
Porites astreoides,Poritidae
Porites attenuata,Poritidae
Porites australiensis,Poritidae
Porites columnaris,Poritidae
Porites compressa,Poritidae
Porites cumulatus,Pocilloporidae
Porites cylindrica,Poritidae
Porites deformis,Poritidae
Porites densa,Poritidae
Porites divaricata,Poritidae
Porites echinulata,Poritidae
Porites eridani,Poritidae
Porites furcata,Poritidae
Porites harrisoni,Poritidae
Porites heronensis,Poritidae
Porites horizontalata,Poritidae
Porites rus,Poritidae
Porites latistellata,Poritidae
Porites lichen,Poritidae
Porites lobata,Poritidae
Porites lutea,Poritidae
Porites mayeri,Poritidae
Porites monticulosa,Poritidae
Porites murrayensis,Poritidae
Porites myrmidonensis,Poritidae
Porites negrosensis,Poritidae
Porites nigrescens,Poritidae
Porites nodifera,Poritidae
Porites panamensis,Poritidae
Porites porites,Poritidae
Porites profundus,Poritidae
Porites rugosus,Poritidae
Porites solida,Poritidae
Porites somaliensis,Poritidae
Porites stephensoni,Poritidae
Porites vaughani,Poritidae
Psammocora digitata,Psammocoridae
Cycloseris explanulata,Fungiidae
Psammocora haimiana,Psammocoridae
Psammocora contigua,Psammocoridae
Psammocora profundacella,Psammocoridae
Psammocora stellata,Psammocoridae
Pseudosiderastrea tayamai,Siderastreidae
Herpolitha limax,Fungiidae
Sandalolitha robusta,Fungiidae
Scapophyllia cylindrica,Merulinidae
Homophyllia australis,Lobophylliidae
Scolymia cubensis,Faviidae
Lobophyllia vitiensis,Lobophylliidae
Seriatopora aculeata,Pocilloporidae
Seriatopora caliendrum,Pocilloporidae
Seriatopora dentritica,Pocilloporidae
Seriatopora guttata,Pocilloporidae
Seriatopora hystrix,Pocilloporidae
Seriatopora stellata,Pocilloporidae
Siderastrea siderea,Siderastreidae
Siderastrea radians,Siderastreidae
Siderastrea savignyana,Siderastreidae
Solenastrea bournoni,Faviidae
Solenastrea hyades,Faviidae
Stephanocoenia intersepta,Astrocoeniidae
Stylocoeniella armata,Astrocoeniidae
Stylocoeniella cocosensis,Astrocoeniidae
Stylocoeniella guentheri,Astrocoeniidae
Stylophora danae,Pocilloporidae
Stylophora kuehlmanni,Pocilloporidae
Stylophora madagascarensis,Pocilloporidae
Stylophora mamillata,Pocilloporidae
Stylophora pistillata,Pocilloporidae
Stylophora subseriata,Pocilloporidae
Stylophora wellsi,Pocilloporidae
Lobophyllia agaricia,Lobophylliidae
Lobophyllia erythraea,Lobophylliidae
Lobophyllia hassi,Lobophylliidae
Lobophyllia radians,Lobophylliidae
Lobophyllia recta,Lobophylliidae
Lobophyllia valenciennesii,Lobophylliidae
Trachyphyllia geoffroyi,Merulinidae
Turbinaria bifrons,Dendrophylliidae
Turbinaria conspicua,Dendrophylliidae
Turbinaria frondens,Dendrophylliidae
Turbinaria heronensis,Dendrophylliidae
Turbinaria irregularis,Dendrophylliidae
Turbinaria mesenterina,Dendrophylliidae
Turbinaria patula,Dendrophylliidae
Turbinaria radicalis,Dendrophylliidae
Turbinaria reniformis,Dendrophylliidae
Turbinaria stellulata,Dendrophylliidae
Zoopilus echinatus,Fungiidae
Acropora branchi,Acroporidae
Acropora cardenae,Acroporidae
Acropora cophodactyla,Acroporidae
Acropora elegantula,Acroporidae
Isopora elizabethensis,Acroporidae
Acropora eurystoma,Acroporidae
Acropora exquisita,Acroporidae
Acropora fastigata,Acroporidae
Acropora filiformis,Acroporidae
Acropora forskali,Acroporidae
Acropora haimei,Acroporidae
Acropora halmaherae,Acroporidae
Acropora japonica,Acroporidae
Acropora lamarcki,Acroporidae
Acropora mirabilis,Acroporidae
Acropora natalensis,Acroporidae
Acropora pectinata,Acroporidae
Acropora plantaginea,Acroporidae
Acropora proximalis,Acroporidae
Acropora pruinosa,Acroporidae
Acropora rufa,Acroporidae
Acropora seriata,Acroporidae
Acropora stoddarti,Acroporidae
Acropora sukarnoi,Acroporidae
Acropora tanegashimensis,Acroporidae
Acropora teres,Acroporidae
Acropora torihalimeda,Acroporidae
Acropora tumida,Acroporidae
Agaricia fragilis,Agariciidae
Agaricia undata,Agariciidae
Alveopora ocellata,Acroporidae
Anacropora pillai,Acroporidae
Anacropora spumosa,Acroporidae
Boninastrea boninensis,Merulinidae
Echinophyllia pectinata,Lobophylliidae
Echinopora irregularis,Merulinidae
Echinopora tiranensis,Merulinidae
Mussismilia leptophylla,Faviidae
Cynarina macassarensis,Lobophylliidae
Meandrina brasiliensis,Meandrinidae
Goniopora diminuta,Poritidae
Montigyra kenti,Euphylliidae
Montipora aspergillus,Acroporidae
Montipora echinata,Acroporidae
Montipora hemispherica,Acroporidae
Montipora kellyi,Acroporidae
Montipora pachytuberculata,Acroporidae
Montipora taiwanensis,Acroporidae
Mussismilia braziliensis,Faviidae
Mussismilia harttii,Faviidae
Mussismilia hispida,Faviidae
Mycetophyllia reesi,Faviidae
Oculina robusta,Oculinidae
Oculina valenciennesi,Oculinidae
Oxypora convoluta,Lobophylliidae
Oxypora egyptensis,Lobophylliidae
Pavona xarifae,Agariciidae
Pocillopora effusa,Pocilloporidae
Pocillopora molokensis,Pocilloporidae
Podabacia sinai,Fungiidae
Porites colonensis,Poritidae
Porites evermanni,Poritidae
Porites flavus,Poritidae
Psammocora nierstraszi,Psammocoridae
Schizoculina africana,Oculinidae
Schizoculina fissipara,Oculinidae
Scolymia wellsii,Faviidae
Siderastrea stellata,Siderastreidae
Simplastrea vesicularis,Euphylliidae
Stylaraea punctata,Poritidae
Acropora ridzwani,Acroporidae
Acropora rongelapensis,Acroporidae
Goniopora tantillus,Poritidae
Montipora verrilli,Acroporidae
Psammocora albopicta,Psammocoridae
